id,sales
0,12.096060960947812
1,13.483620195751687
2,14.59761864377739
3,14.638576084571595
4,15.24021595349735
5,16.171887857432512
6,18.40053453614795
7,12.096060960947812
8,13.483620195751687
9,14.59761864377739
10,14.638576084571595
11,15.24021595349735
12,16.171887857432512
13,18.40053453614795
14,12.096060960947812
15,13.483620195751687
16,14.59761864377739
17,14.638576084571595
18,15.24021595349735
19,16.171887857432512
20,18.40053453614795
21,12.096060960947812
22,13.483620195751687
23,14.59761864377739
24,14.638576084571595
25,15.24021595349735
26,16.171887857432512
27,18.40053453614795
28,12.096060960947812
29,13.483620195751687
30,14.59761864377739
31,15.310873340402875
32,17.011900264426593
33,18.747319292531603
34,20.40042612738254
35,12.285949359120961
36,14.133010677454063
37,15.45100243600515
38,15.310873340402875
39,17.011900264426593
40,18.747319292531603
41,20.40042612738254
42,12.285949359120961
43,14.133010677454063
44,15.45100243600515
45,15.310873340402875
46,17.011900264426593
47,18.747319292531603
48,20.40042612738254
49,12.285949359120961
50,14.133010677454063
51,15.45100243600515
52,15.310873340402875
53,17.011900264426593
54,18.747319292531603
55,20.40042612738254
56,12.285949359120961
57,14.133010677454063
58,15.45100243600515
59,17.551098498536504
60,18.654984636647963
61,20.853880534647697
62,22.296816031583628
63,14.146915744812999
64,16.794905516560238
65,18.102991352628376
66,17.551098498536504
67,18.654984636647963
68,20.853880534647697
69,22.296816031583628
70,14.146915744812999
71,16.794905516560238
72,18.102991352628376
73,17.551098498536504
74,18.654984636647963
75,20.853880534647697
76,22.296816031583628
77,14.146915744812999
78,16.794905516560238
79,18.102991352628376
80,17.551098498536504
81,18.654984636647963
82,20.853880534647697
83,22.296816031583628
84,14.146915744812999
85,16.794905516560238
86,18.102991352628376
87,17.551098498536504
88,18.654984636647963
89,20.853880534647697
90,16.973174140377946
91,19.25336412210423
92,18.562820206369548
93,20.020995238001973
94,22.113604225530032
95,23.94682400405909
96,24.67040798431018
97,16.973174140377946
98,19.25336412210423
99,18.562820206369548
100,20.020995238001973
101,22.113604225530032
102,23.94682400405909
103,24.67040798431018
104,16.973174140377946
105,19.25336412210423
106,18.562820206369548
107,20.020995238001973
